,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
          Female,55,54,55,36.9,15,22.7,40,37.7,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
5920 Statistical assistants 5920 (SOC 43-9111),180,118,100,18.7,22.2,25,77.8,24.5,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
          Male,55,90,30.6,36.9,0,18.7,30.6,36.9,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
          Female,125,67,69.4,36.6,22.2,25,47.2,32.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
"5940 Miscellaneous office and administrative support workers, including desktop publishers 5940 (SOC 43-9XXX)","3,105",390,100,1.2,19.2,5.1,75.7,5.3,0.3,0.7,1.3,1.3,0,1.2,1,4.2,0.8,0.8,1.6,1.6
          Male,810,201,26.1,5.8,6.3,2.8,18.8,5.4,0,1.2,0.6,0.7,0,1.2,0,1.2,0,1.2,0.3,0.7
          Female,"2,295",346,73.9,5.8,12.9,4,56.8,7.4,0.3,0.7,0.6,0.8,0,1.2,1,4.2,0.8,0.8,1.3,1.4
"6005 First-line supervisors of farming, fishing, and forestry workers 6005 (SOC 45-1011)",10,19,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,19,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
6010 Agricultural inspectors 6010 (SOC 45-2011),10,21,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,10,21,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"6050 Miscellaneous agricultural workers, including animal breeders 6050 (SOC 45-20XX)",345,144,100,10.3,5.8,7.7,15.9,14,0,10.3,4.3,8.4,0,10.3,0,10.3,20.3,16.8,52.2,19.5
          Male,270,124,78.3,14.1,5.8,7.7,15.9,14,0,10.3,4.3,8.4,0,10.3,0,10.3,10.1,12.8,40.6,18.4
          Female,75,59,21.7,14.5,0,10.3,0,10.3,0,10.3,0,10.3,0,10.3,0,10.3,10.1,11.8,11.6,12.1
6100 Fishing and hunting workers 6100 (SOC 45-3000),25,34,100,63.7,0,63.7,0,63.7,0,63.7,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Male,25,34,100,63.7,0,63.7,0,63.7,0,63.7,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Female,0,127,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
6120 Forest and conservation workers 6120 (SOC 45-4011),20,25,100,71.2,0,71.2,100,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
          Male,20,25,100,71.2,0,71.2,100,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
          Female,0,127,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
6130 Logging workers 6130 (SOC 45-4020),30,36,100,58.2,50,50,33.3,46.1,0,58.2,0,58.2,0,58.2,0,58.2,33.3,55.6,0,58.2
          Male,30,36,100,58.2,50,50,33.3,46.1,0,58.2,0,58.2,0,58.2,0,58.2,33.3,55.6,0,58.2
          Female,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
6200 First-line supervisors of construction trades and extraction workers 6200 (SOC 47-1011),"3,460",432,100,1.1,22,5.3,34.5,6.7,0,1.1,0.9,1.1,0,1.1,1.2,3.8,19.5,4.8,22.1,5.9
          Male,"3,325",429,96.1,2.3,21.7,5.4,31.2,7,0,1.1,0.9,1.1,0,1.1,1.2,1,19.1,4.8,22.1,5.9
          Female,140,79,4,2.3,0.3,0.6,3.3,2.2,0,1.1,0,1.1,0,1.1,0,1.1,0.4,0.7,0,1.1
6210 Boilermakers 6210 (SOC 47-2011),60,60,100,41.1,16.7,39.6,75,38.2,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
          Male,60,60,100,41.1,16.7,39.6,75,38.2,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
          Female,0,127,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
"6220 Brickmasons, blockmasons, and stonemasons 6220 (SOC 47-2020)","1,555",346,100,2.4,0.6,1.1,23.8,8.5,0,2.4,0,2.4,0,2.4,1.6,8.5,37.6,10.7,36.3,10.9
          Male,"1,555",346,100,2.4,0.6,1.1,23.8,8.5,0,2.4,0,2.4,0,2.4,1.6,8.5,37.6,10.7,36.3,10.9
          Female,0,127,0,2.4,0,2.4,0,2.4,0,2.4,0,2.4,0,2.4,0,2.4,0,2.4,0,2.4
6230 Carpenters 6230 (SOC 47-2031),"5,490",573,100,0.7,14.2,3.3,20.7,4.7,0,0.7,2.8,1.8,0.1,0.2,2.1,2.8,23.5,4.8,36.7,6.6
          Male,"5,410",581,98.5,1.1,14.2,3.3,19.6,4.6,0,0.7,2.8,1.8,0.1,0.2,1.9,1.6,23.5,4.8,36.5,6.6
          Female,85,60,1.5,1.1,0,0.7,1.1,1,0,0.7,0,0.7,0,0.7,0.2,2.3,0,0.7,0.2,0.3
"6240 Carpet, floor, and tile installers and finishers 6240 (SOC 47-2040)","1,295",347,100,2.9,5.4,4.8,37.8,10.8,1.2,1.8,0,2.9,0,2.9,0,2.9,25.1,12.5,30.5,11.4
          Male,"1,220",321,94.2,5.3,4.2,4.4,35.5,10.8,1.2,1.8,0,2.9,0,2.9,0,2.9,22.8,10,30.5,11.4
          Female,75,75,5.8,5.3,1.2,1.8,2.3,3.7,0,2.9,0,2.9,0,2.9,0,2.9,2.3,3.3,0,2.9
"6250 Cement masons, concrete finishers, and terrazzo workers 6250 (SOC 47-2050)",745,226,100,4.9,0,4.9,13.4,9.1,0,4.9,0,4.9,0,4.9,0,4.9,51.7,14.4,34.9,14.6
          Male,705,217,94.6,7.6,0,4.9,13.4,9.1,0,4.9,0,4.9,0,4.9,0,4.9,51.7,14.4,29.5,13
          Female,40,61,5.4,7.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,0,4.9,5.4,7.9
6260 Construction laborers 6260 (SOC 47-2061),"7,315",693,100,0.5,7,2.2,21.1,3.5,0,0.5,0.7,0.7,0,0.5,1.3,1.9,33.4,5.2,36.5,5.5
          Male,"7,050",688,96.4,1.4,6.8,2.1,19.4,3.5,0,0.5,0.7,0.7,0,0.5,1.3,1.9,31.9,5.2,36.2,5.5
          Female,265,100,3.6,1.4,0.3,0.4,1.6,1.1,0,0.5,0,0.5,0,0.5,0,0.5,1.5,0.8,0.2,0.3
"6300 Paving, surfacing, and tamping equipment operators 6300 (SOC 47-2071)",110,81,100,28.2,0,28.2,31.8,35.2,0,28.2,0,28.2,0,28.2,0,28.2,50,40.2,18.2,28.8
          Male,110,81,100,28.2,0,28.2,31.8,35.2,0,28.2,0,28.2,0,28.2,0,28.2,50,40.2,18.2,28.8
          Female,0,127,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
"6320 Construction equipment operators except paving, surfacing, and tamping equipment operators 6320 (SOC 47-207X)",930,242,100,3.9,10.2,7,55.4,11.4,0,3.9,2.2,3.8,0,3.9,0,3.9,13.4,8.6,18.8,11.1
          Male,930,242,100,3.9,10.2,7,55.4,11.4,0,3.9,2.2,3.8,0,3.9,0,3.9,13.4,8.6,18.8,11.1
          Female,0,127,0,3.9,0,3.9,0,3.9,0,3.9,0,3.9,0,3.9,0,3.9,0,3.9,0,3.9
"6330 Drywall installers, ceiling tile installers, and tapers 6330 (SOC 47-2080)","1,100",329,100,3.3,6.8,6.7,11.8,8.3,0,3.3,0,3.3,0,3.3,0,3.3,43.2,15.7,38.2,14.4
          Male,"1,100",329,100,3.3,6.8,6.7,11.8,8.3,0,3.3,0,3.3,0,3.3,0,3.3,43.2,15.7,38.2,14.4
          Female,0,127,0,3.3,0,3.3,0,3.3,0,3.3,0,3.3,0,3.3,0,3.3,0,3.3,0,3.3
6355 Electricians 6355 (SOC 47-2111),"2,690",382,100,1.4,17.8,4.8,55.8,7.6,0,1.4,2,1.9,0,1.4,3.5,5.5,9.7,3.9,11.2,4.6
          Male,"2,615",382,97.2,2.1,17.5,4.8,54.1,7.9,0,1.4,2,1.9,0,1.4,2.6,2.7,9.7,3.9,11.2,4.6
          Female,80,55,3,2.1,0.6,0.8,1.7,1.5,0,1.4,0,1.4,0,1.4,0.9,4.9,0,1.4,0,1.4
6360 Glaziers 6360 (SOC 47-2121),190,100,100,17.8,26.3,21.2,52.6,29.4,0,17.8,0,17.8,0,17.8,0,17.8,21.1,22,0,17.8
          Male,190,100,100,17.8,26.3,21.2,52.6,29.4,0,17.8,0,17.8,0,17.8,0,17.8,21.1,22,0,17.8
          Female,0,127,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8
6400 Insulation workers 6400 (SOC 47-2130),105,91,100,29.2,14.3,27,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,14.3,28.5,76.2,38.6
          Male,105,91,100,29.2,14.3,27,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,14.3,28.5,76.2,38.6
          Female,0,127,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2
"6420 Painters, construction and maintenance 6420 (SOC 47-2141)","3,590",529,100,1,7.2,2.9,18,5.7,0,1,0,1,0,1,3.8,6.5,21.9,6.9,49.2,7.9
          Male,"3,390",487,94.4,3.4,6,2.6,17.1,5.4,0,1,0,1,0,1,1.5,4,20.6,6.8,49.2,7.9
          Female,200,133,5.6,3.4,1.4,1.4,0.8,1.3,0,1,0,1,0,1,2.2,4.2,1.3,1.5,0,1
6430 Paperhangers 6430 (SOC 47-2142),30,32,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,33.3,57.7,66.7,62.2
          Male,30,32,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,33.3,57.7,66.7,62.2
          Female,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
"6440 Pipelayers, plumbers, pipefitters, and steamfitters 6440 (SOC 47-2150)","2,545",416,100,1.5,17.7,4.1,38.9,8.8,0,1.5,1.6,1.8,0,1.5,1.8,5.4,22.8,9.4,17.3,7.2
          Male,"2,500",418,98.2,2,17.7,4.1,38.3,8.7,0,1.5,1.6,1.8,0,1.5,1.8,2.1,22.8,9.4,15.9,7
          Female,45,49,1.8,2,0,1.5,0.6,0.9,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,1.2,1.8
6460 Plasterers and stucco masons 6460 (SOC 47-2161),125,79,100,25.5,3.2,2.8,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,16,20.3,84,21.5
          Male,125,79,100,25.5,3.2,2.8,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,16,20.3,84,21.5
          Female,0,127,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
6500 Reinforcing iron and rebar workers 6500 (SOC 47-2171),70,76,100,38.1,0,38.1,14.3,23.9,0,38.1,0,38.1,0,38.1,0,38.1,85.7,26.9,0,38.1
          Male,70,76,100,38.1,0,38.1,14.3,23.9,0,38.1,0,38.1,0,38.1,0,38.1,85.7,26.9,0,38.1
          Female,0,127,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
6515 Roofers 6515 (SOC 47-2181),"1,460",416,100,2.5,3.8,4.2,5.8,5,0,2.5,0,2.5,0,2.5,3.4,9.7,21.2,10.9,65.8,12.7
          Male,"1,460",416,100,2.5,3.8,4.2,5.8,5,0,2.5,0,2.5,0,2.5,3.4,9.7,21.2,10.9,65.8,12.7
          Female,0,127,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5
6520 Sheet metal workers 6520 (SOC 47-2211),330,166,100,10.7,15.2,12.5,51.5,24.4,3,5.6,0,10.7,0,10.7,4.5,39.1,12.1,14.6,13.6,16.8
          Male,330,166,100,10.7,15.2,12.5,51.5,24.4,3,5.6,0,10.7,0,10.7,4.5,39.1,12.1,14.6,13.6,16.8
          Female,0,127,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7
6530 Structural iron and steel workers 6530 (SOC 47-2221),155,98,100,21.3,16.1,24.2,51.6,34.4,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,32.3,32.5
          Male,120,91,77.4,29.9,16.1,24.2,32.3,30,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,32.3,32.5
          Female,35,45,22.6,28.8,0,21.3,22.6,28.8,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3
"6600 Helpers, construction trades 6600 (SOC 47-3010)",555,190,100,6.5,9.9,7.9,20.7,12.9,0,6.5,0,6.5,0,6.5,0,6.5,13.5,11.3,55.9,17.8
          Male,555,190,100,6.5,9.9,7.9,20.7,12.9,0,6.5,0,6.5,0,6.5,0,6.5,13.5,11.3,55.9,17.8
          Female,0,127,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5
6660 Construction and building inspectors 6660 (SOC 47-4011),435,155,100,8.3,8,8.4,90.8,9.8,0,8.3,0,8.3,0,8.3,0,8.3,0,8.3,2.3,3.8
          Male,405,152,93.1,7.4,8,8.4,85.1,12,0,8.3,0,8.3,0,8.3,0,8.3,0,8.3,0,8.3
          Female,35,31,8,7,0,8.3,5.7,6.3,0,8.3,0,8.3,0,8.3,0,8.3,0,8.3,2.3,3.8
6700 Elevator installers and repairers 6700 (SOC 47-4021),100,52,100,30.3,50,26.4,50,26.7,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
          Male,100,52,100,30.3,50,26.4,50,26.7,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
          Female,0,127,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
6710 Fence erectors 6710 (SOC 47-4031),100,103,100,30.3,40,48.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,25,22.2,40,32.1
          Male,100,103,100,30.3,40,48.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,25,22.2,40,32.1
          Female,0,127,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
6720 Hazardous materials removal workers 6720 (SOC 47-4041),180,105,100,18.7,2.2,10.2,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,77.8,24.8,19.4,20
          Male,65,51,36.1,29.6,2.2,10.2,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,30.6,28.9,2.2,6.5
          Female,115,96,63.9,30.4,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,47.2,34.9,16.7,17.4
6730 Highway maintenance workers 6730 (SOC 47-4051),70,53,100,38.1,14.3,24.6,21.4,34.3,0,38.1,0,38.1,0,38.1,0,38.1,28.6,39.5,28.6,40.4
          Male,70,53,100,38.1,14.3,24.6,21.4,34.3,0,38.1,0,38.1,0,38.1,0,38.1,28.6,39.5,28.6,40.4
          Female,0,127,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
6740 Rail-track laying and maintenance equipment operators 6740 (SOC 47-4061),70,65,100,38.1,0,38.1,100,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
          Male,70,65,100,38.1,0,38.1,100,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
          Female,0,127,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
"6765 Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners 6765 (SOC 47-XXXX)",160,98,100,20.7,18.8,24.1,6.3,10.5,0,20.7,0,20.7,0,20.7,0,20.7,43.8,35,31.3,32.1
          Male,160,98,100,20.7,18.8,24.1,6.3,10.5,0,20.7,0,20.7,0,20.7,0,20.7,43.8,35,31.3,32.1
          Female,0,127,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7
"6800 Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining 6800 (SOC 47-50YY)",10,19,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,19,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"6820 Earth drillers, except oil and gas 6820 (SOC 47-5021)",70,62,100,38.1,42.9,51.7,57.1,51.3,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
          Male,70,62,100,38.1,42.9,51.7,57.1,51.3,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
          Female,0,127,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1
"6830 Explosives workers, ordnance handling experts, and blasters 6830 (SOC 47-5031)",10,15,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,15,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"6940 Miscellaneous extraction workers, including roof bolters and helpers 6940 (SOC 47-50XX)",25,29,100,63.7,0,63.7,40,59.7,0,63.7,60,60,0,63.7,0,63.7,0,63.7,0,63.7
          Male,25,29,100,63.7,0,63.7,40,59.7,0,63.7,60,60,0,63.7,0,63.7,0,63.7,0,63.7
          Female,0,127,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
"7000 First-line supervisors of mechanics, installers, and repairers 7000 (SOC 49-1011)",775,198,100,4.7,28.4,11,65.2,11.3,0,4.7,0.5,0.7,0,4.7,0,4.7,4.5,5,0.5,1.3
          Male,645,180,83.2,8.4,26.5,11,51.6,13.5,0,4.7,0,4.7,0,4.7,0,4.7,4.5,5,0,4.7
          Female,130,70,16.8,8.4,1.9,2.9,13.5,7.9,0,4.7,0.5,0.7,0,4.7,0,4.7,0,4.7,0.5,1.3
"7010 Computer, automated teller, and office machine repairers 7010 (SOC 49-2011)","1,230",268,100,3,14.2,6.8,78,7.7,0,3,4.5,3.9,0,3,0,3,0.3,1,2.8,3.6
          Male,"1,005",227,81.7,9.7,12.6,6.5,61.4,10.3,0,3,4.5,3.9,0,3,0,3,0.3,1,2.8,3.6
          Female,225,138,18.3,9.7,1.6,1.9,16.7,9.7,0,3,0,3,0,3,0,3,0,3,0,3
7020 Radio and telecommunications equipment installers and repairers 7020 (SOC 49-2020),830,182,100,4.4,15.7,9,78.9,10.5,0,4.4,0,4.4,1.8,3.4,0,0,2.4,4.1,1.2,2.9
          Male,625,167,75.3,10.1,12.7,8.2,59.6,11.4,0,4.4,0,4.4,1.8,3.4,0,0,0,4.4,1.2,2.9
          Female,200,92,24.1,10.2,2.4,4.4,19.3,10.4,0,4.4,0,4.4,0,4.4,0,4.4,2.4,4.1,0,4.4
7030 Avionics technicians 7030 (SOC 49-2091),30,37,100,58.2,0,58.2,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Male,30,37,100,58.2,0,58.2,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Female,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
"7040 Electric motor, power tool, and related repairers 7040 (SOC 49-2092)",125,68,100,25.5,24,23.4,68,27,0,25.5,8,12.5,0,25.5,0,25.5,0,25.5,0,25.5
          Male,125,68,100,25.5,24,23.4,68,27,0,25.5,8,12.5,0,25.5,0,25.5,0,25.5,0,25.5
          Female,0,127,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
"7110 Electronic equipment installers and repairers, motor vehicles 7110 (SOC 49-2096)",40,50,100,50.4,0,50.4,100,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
          Male,40,50,100,50.4,0,50.4,100,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
          Female,0,127,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
7120 Electronic home entertainment equipment installers and repairers 7120 (SOC 49-2097),95,58,100,31.4,21.1,23.4,63.2,31.4,0,31.4,0,31.4,0,31.4,10.5,135.2,4.2,14.1,0,31.4
          Male,95,58,100,31.4,21.1,23.4,63.2,31.4,0,31.4,0,31.4,0,31.4,10.5,135.2,4.2,14.1,0,31.4
          Female,0,127,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4
7130 Security and fire alarm systems installers 7130 (SOC 49-2098),195,127,100,17.4,0,17.4,100,17.4,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4
          Male,180,123,92.3,12.7,0,17.4,92.3,12.7,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4
          Female,15,26,7.7,13.6,0,17.4,7.7,13.6,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4
7140 Aircraft mechanics and service technicians 7140 (SOC 49-3011),105,88,100,29.2,0,29.2,61.9,31.7,0,29.2,0,29.2,0,29.2,23.8,125.8,14.3,25.1,0,29.2
          Male,105,88,100,29.2,0,29.2,61.9,31.7,0,29.2,0,29.2,0,29.2,23.8,125.8,14.3,25.1,0,29.2
          Female,0,127,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2,0,29.2
7150 Automotive body and related repairers 7150 (SOC 49-3021),410,175,100,8.7,19.5,14.1,26.8,17.6,0,8.7,1,0.4,0,8.7,0,8.7,25.6,19.2,28,21.9
          Male,375,139,91.5,11.6,19.5,14.1,26.8,17.6,0,8.7,1,0.4,0,8.7,0,8.7,25.6,19.2,19.5,11.8
          Female,35,58,8.5,11.7,0,8.7,0,8.7,0,8.7,0,8.7,0,8.7,0,8.7,0,8.7,8.5,11.7
7160 Automotive glass installers and repairers 7160 (SOC 49-3022),140,101,100,23.2,2.9,13.8,75,29.3,0,23.2,0,23.2,0,23.2,0,23.2,21.4,26.9,0,23.2
          Male,140,101,100,23.2,2.9,13.8,75,29.3,0,23.2,0,23.2,0,23.2,0,23.2,21.4,26.9,0,23.2
          Female,0,127,0,23.2,0,23.2,0,23.2,0,23.2,0,23.2,0,23.2,0,23.2,0,23.2,0,23.2
7200 Automotive service technicians and mechanics 7200 (SOC 49-3023),"2,545",372,100,1.5,21.8,5.7,45,6.5,0,1.5,3.9,2.1,0,1.5,2.4,5.5,12.4,5,14.7,5.1
          Male,"2,545",372,100,1.5,21.8,5.7,45,6.5,0,1.5,3.9,2.1,0,1.5,2.4,5.5,12.4,5,14.7,5.1
          Female,0,127,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5
7210 Bus and truck mechanics and diesel engine specialists 7210 (SOC 49-3031),"1,135",325,100,3.2,15.4,7.4,63.9,15.8,0,3.2,1.8,2.9,0,3.2,3.1,11.7,1.3,3,15,15
          Male,"1,070",325,94.3,5.2,15.4,7.4,59.9,16.1,0,3.2,1.8,2.9,0,3.2,0.9,11.3,1.3,3,15,15
          Female,65,56,5.7,5.2,0,3.2,4,4,0,3.2,0,3.2,0,3.2,2.2,11.6,0,3.2,0,3.2
7220 Heavy vehicle and mobile equipment service technicians and mechanics 7220 (SOC 49-3040),305,157,100,11.6,23,13.2,36.1,21.9,0,11.6,0,11.6,0,11.6,0,11.6,1.3,3.3,39.3,21
          Male,305,157,100,11.6,23,13.2,36.1,21.9,0,11.6,0,11.6,0,11.6,0,11.6,1.3,3.3,39.3,21
          Female,0,127,0,11.6,0,11.6,0,11.6,0,11.6,0,11.6,0,11.6,0,11.6,0,11.6,0,11.6
7240 Small engine mechanics 7240 (SOC 49-3050),55,54,100,43,27.3,44.2,0,43,0,43,18.2,45.7,0,43,0,43,0,43,54.5,51.6
          Male,55,54,100,43,27.3,44.2,0,43,0,43,18.2,45.7,0,43,0,43,0,43,54.5,51.6
          Female,0,127,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
"7260 Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers 7260 (SOC 49-3090)",80,80,100,35.3,0,35.3,18.8,43.8,0,35.3,0,35.3,0,35.3,0,35.3,75,40.8,0,35.3
          Male,80,80,100,35.3,0,35.3,18.8,43.8,0,35.3,0,35.3,0,35.3,0,35.3,75,40.8,0,35.3
          Female,0,127,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3
7300 Control and valve installers and repairers 7300 (SOC 49-9010),90,55,100,32.7,11.1,20,77.8,32.2,0,32.7,0,32.7,0,32.7,0,32.7,11.1,25.1,0,32.7
          Male,90,55,100,32.7,11.1,20,77.8,32.2,0,32.7,0,32.7,0,32.7,0,32.7,11.1,25.1,0,32.7
          Female,0,127,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7
"7315 Heating, air conditioning, and refrigeration mechanics and installers 7315 (SOC 49-9021)","1,660",310,100,2.2,27.1,8.4,54.8,8.7,0,2.2,0.6,1.2,0,2.2,1.1,7.9,6.3,4.9,9.6,6.8
          Male,"1,660",310,100,2.2,27.1,8.4,54.8,8.7,0,2.2,0.6,1.2,0,2.2,1.1,7.9,6.3,4.9,9.6,6.8
          Female,0,127,0,2.2,0,2.2,0,2.2,0,2.2,0,2.2,0,2.2,0,2.2,0,2.2,0,2.2
7320 Home appliance repairers 7320 (SOC 49-9031),130,84,100,24.7,7.7,12,53.8,32.8,0,24.7,0,24.7,0,24.7,0,24.7,38.5,32.2,0,24.7
          Male,115,77,88.5,16,7.7,12,46.2,27.2,0,24.7,0,24.7,0,24.7,0,24.7,38.5,32.2,0,24.7
          Female,10,22,7.7,16.2,0,24.7,7.7,16.2,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7
7330 Industrial and refractory machinery mechanics 7330 (SOC 49-904X),300,103,100,11.7,31.7,18.4,31.7,19.1,0,11.7,16.7,14.1,0,11.7,0,11.7,1.3,0.5,18.3,13.8
          Male,300,103,100,11.7,31.7,18.4,31.7,19.1,0,11.7,16.7,14.1,0,11.7,0,11.7,1.3,0.5,18.3,13.8
          Female,0,127,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7
"7340 Maintenance and repair workers, general 7340 (SOC 49-9071)","1,360",277,100,2.7,14.7,6.2,69.1,9.5,0,2.7,5.1,3.9,0,2.7,0,2.7,3.7,4,7,6.8
          Male,"1,315",273,96.7,3.9,14,5.8,66.5,9.6,0,2.7,5.1,3.9,0,2.7,0,2.7,3.7,4,7,6.8
